parameter,context,sub_context,target,unit,region,year,value
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2000,1.5
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2000,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2000,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2005,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2005,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2005,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2010,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2010,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2010,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2015,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2015,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2015,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2020,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2020,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2020,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2025,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2025,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2025,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2030,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2030,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2030,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2035,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2035,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2035,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2040,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2040,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2040,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2045,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2045,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2045,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,ab,2050,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,bc,2050,1.497977206
service_request,,,.coal_mining.service.machine_drive,GJ,sk,2050,1.497977206
